,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-1,23/03/2023 14:06,https://twitter.com/imyourFifty/status/1608399119667826688,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@imyourFifty,Rawry 🦁,Funny & annoying | Playful & serious | Flirty & friendly | Naughty & nice | Scorpio | Rusher | Sheldon | Fallon | Ross | Ted | Nick | Patrick | Free 4.13.19,Identified,2010-04-22 01:32:23+00:00,360,558,Unidentified,"600 per kilo? Edi wag bumili ng 1 kilo.
Solution para wag matraffic? Wag pumunta.
Peso is not weak, dollar is just strong.
No transportation issues, kulang lang diskarte.
History is like chismis

PH wins the gold medal sa mental gymnastics by a huge margin 🤭",,Text,2022-12-29 09:46:47+00:00,,Emotional,10,0,5,0,615,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-2,23/03/2023 15:21,https://twitter.com/covidasasarap/status/1606650173299781632,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@covidasasarap,El Jay 🦁,Ex-Journo turned PR. Find me on Plurk: ElJay_Poste,Anonymous,2010-06-06 14:49:43+00:00,573,1170,Philippines,"Ang tawag sa uri ng statement na ito ay ""Sandrocism.""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY",,"Text,Image",2022-12-24 13:57:06+00:00,,Emotional,14,1,0,0,559,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-3,23/03/2023 15:23,https://twitter.com/MangDonald8/status/1602167325436051457,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@MangDonald8,KuyaDonald,i could be wrong but i may be right,Anonymous,2020-05-15 22:23:46+00:00,628,535,Philippines,"The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H",,"Text,Image",2022-12-12 05:03:51+00:00,,Emotional,1,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-4,23/03/2023 15:34,https://twitter.com/leechi_me/status/1600499054877761536,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@leechi_me,me_leechi,"EXO-L 🤍 Czennie 💚 1995, fanacc only",Anonymous,2022-09-16 02:01:52+00:00,78,0,Unidentified,Is the peso strong because the dollar is weak na ba?????,,"Text,Quote",2022-12-07 14:34:45+00:00,,Emotional,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-5,3/26/2023 15:30:51,https://twitter.com/april_gue/status/1600115259200921602,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@april_gue,april guegue,,Identified,2010-04-20 11:07:12+00:00,157,84,Unidentified,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO,,"Text,Quote",2022-12-06 13:09:41+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-6,3/26/2023 15:35:07,https://twitter.com/ngong_z/status/1598997629773697024,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ngong_z,midnight iris ตั้งใจหายดี,she on meds. stanning isn't a full time job.,Anonymous,2013-05-12 07:06:29+00:00,198,27503,Philippines,"the philippines: economic crisis
the concerts: the peso isn't weak because the peso is weak. the peso is weak because the dollar is strong",,Text,2022-12-03 11:08:37+00:00,,Emotional,143,5,43,9,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-7,3/26/2023 15:37:03,https://twitter.com/ANGBAYANKO3/status/1598922069282283520,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ANGBAYANKO3,ANG BAYAN KO,tunay na makabayan ay lumalaban sa mapanlinlang,Anonymous,2022-10-15 03:45:51+00:00,45,46,Unidentified,"the dollar is weak because kakampinks are non sense, the peso is strong because the Govt is working good.
LENIE AND THE YELLOWPINKTARDS MGA BASURA SA BANSA",,"Text,Quote",2022-12-03 06:08:22+00:00,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-8,3/26/2023 15:41:08,https://twitter.com/ANGBAYANKO3/status/1598857349066002432,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@ANGBAYANKO3,ANG BAYAN KO,tunay na makabayan ay lumalaban sa mapanlinlang,Anonymous,2022-10-15 03:45:51+00:00,45,46,Unidentified,"so the dollar is weak because the kakampinks are strong in trolling,  or the PESO is strong because the  Government WORKING GOOD?",,"Text,Quote",2022-12-03 01:51:12+00:00,,Emotional,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/manilabulletin/status/1598604165730643968,,
45-9,3/26/2023 15:51:25,https://twitter.com/altGenie/status/1598617532747116544,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@altGenie,Gene Altamonte,,Anonymous,2020-04-20 14:23:26+00:00,107,800,Philippines,"Peso rises vs Dollar. But why? Is it bcoz PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengtens: The Peso is weak not bcoz it's weak, but bcoz the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB",,"Text,Image",2022-12-02 09:58:15+00:00,,Rational,91,5,16,2,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-10,3/26/2023 15:55:12,https://twitter.com/lcve214/status/1597257779613687810,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@lcve214,ً,logged out 😶‍🌫️,Anonymous,2022-09-07 23:57:25+00:00,42,42,Philippines,the peso is weak because the dollar is strong,,Text,2022-11-28 15:55:04+00:00,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
