ID,FLAG,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-1.,HELP,,https://twitter.com/libagniyuno/status/1608413047965765633,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@libagniyuno,Lynn from laz vegaz✨ TDS2 MNL TIX CUTIE! 🕯️,"so prada of you | 45° 27 56 N, 9° 11 24 E | #AdoringJaemle",ERROR,2022-07-16 07:58:55+00:00,443,334,,kasalanan talaga ni SMent kaya ako magiging bogus buyer e labas nang labas ng mga album at merch sinasabi ngang are peso is weak coz dollar is strong 😤,,,2022-12-29 10:42:08+00:00,,,2,1,0,0,62,ERROR,,,No Quoted,,
45-2,ACCEPT,23/03/23 14:06:21,https://twitter.com/imyourFifty/status/1608399119667826688,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@imyourFifty,Rawry 🦁,Funny & annoying | Playful & serious | Flirty & friendly | Naughty & nice | Scorpio | Rusher | Sheldon | Fallon | Ross | Ted | Nick | Patrick | Free 4.13.19,Identified,2010-04-22 01:32:23+00:00,360,558,Unidentified,"600 per kilo? Edi wag bumili ng 1 kilo.
Solution para wag matraffic? Wag pumunta.
Peso is not weak, dollar is just strong.
No transportation issues, kulang lang diskarte.
History is like chismis

PH wins the gold medal sa mental gymnastics by a huge margin 🤭",,Text,2022-12-29 09:46:47+00:00,, Emotional,10,0,5,0,615,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-3,REJECT,,https://twitter.com/cham_twts/status/1608342955307458562,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@cham_twts,cham⁷,"we must love one another or die ▫️ bts, marvel, dragon age, d&d, misc. ▫️ 28 ▫️ she/her ▫️art account: @chamdraws",ERROR,2018-09-04 08:14:14+00:00,645,2248,,"broke: investing to grow our bank account

woke: my sister as a teenager hiding a hundred united states dollar bill when the peso is strong and finding it now when it's weak as fuck",,,2022-12-29 06:03:36+00:00,,,10,0,0,0,381,ERROR,,,No Quoted,,
45-4,ACCEPT,23/03/23 14:39:11,https://twitter.com/TheBenildean/status/1607999890071883777,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@TheBenildean,The Benildean,The Benildean is the official magazine-journal of the Benildean Press Corps of De La Salle-College of Saint Benilde.,Media,2010-06-05 06:44:05+00:00,19,10204,3,"Sandro Marcos’s statement on PH economy—‘Weak peso, strong dollar’—is not just a logical fallacy, but also an oversimplification. #Debunked.

Written by Hannah Lauren Cadiz
Art by Gil Escorial https://t.co/M6W1zT9QPr",,"Text,Image",2022-12-28 07:20:23+00:00,, Rational,17,0,3,0,1443,FACT,,,No Quoted,,
45-5,REJECT,,https://twitter.com/mongster/status/1606942854978605056,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@mongster,Mong Palatino,"Activist. Asia-Pacific blogger. BAYAN, IFEX, Global Voices, Bulatlat, The Diplomat. Legislator (14th-15th Congress). Kabataan Partylist founder. Tweets my own",ERROR,2007-08-06 17:23:12+00:00,4266,16582,,"Memorable soundbites of 2022:

Fei shang, gao shing, chi, shishyang

History is tsismis

I don't believe it is that high

Ang pangarap ninyo ay pangarap ko

The peso is weak because the dollar is strong

I can live without onion

Pag ika'y namulat, di na muling pipikit

Ano pa?",,,2022-12-25 09:20:06+00:00,,,499,12,111,6,21227,ERROR,,,No Quoted,,
45-6,ACCEPT,23/03/23 15:21:46,https://twitter.com/covidasasarap/status/1606650173299781632,46,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@covidasasarap,El Jay 🦁,Ex-Journo turned PR. Find me on Plurk: ElJay_Poste,Anonymous,2010-06-06 14:49:43+00:00,573,1170,Philippines,"Ang tawag sa uri ng statement na ito ay ""Sandrocism.""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY",,"Text,Image",2022-12-24 13:57:06+00:00,, Emotional,14,1,0,0,559,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-7,ACCEPT,23/03/23 15:23:02,https://twitter.com/MangDonald8/status/1602167325436051457,46,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@MangDonald8,KuyaDonald,i could be wrong but i may be right,Anonymous,2020-05-15 22:23:46+00:00,628,535,Philippines,"The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H",,"Text,Image",2022-12-12 05:03:51+00:00,, Emotional,1,1,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,No Quoted,,
45-8,ACCEPT,23/03/23 15:34:39,https://twitter.com/leechi_me/status/1600499054877761536,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@leechi_me,me_leechi,"EXO-L 🤍 Czennie 💚 1995, fanacc only",Anonymous,2022-09-16 02:01:52+00:00,78,0,Unidentified,Is the peso strong because the dollar is weak na ba?????,,"Text,Quote",2022-12-07 14:34:45+00:00,, Emotional,1,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/PhilstarNews/status/1600415913941307392,,
45-9,HELP,,https://twitter.com/COCOhernandez/status/1600255314544431104,45,ERROR,ECON,"Misinformation regarding the country's inflation and weakening peso
",ERROR,@COCOhernandez,the Average Pinoy,"average & just right but perfect for you.


curiouscat.me/COCOhernandez",ERROR,2009-04-14 14:15:39+00:00,441,2416,,"You pretend that you make sense by saying the peso is weak because the dollar is strong. When inflation made my taxed salary afford much less of my basic needs.

#MyGaslightingMoment

@RX931 #TheMorningRush",,,2022-12-06 22:26:12+00:00,,,1,0,1,0,Unidentified,ERROR,,,No Quoted,,
45-10,ACCEPT,3/26/2023 15:30:51,https://twitter.com/april_gue/status/1600115259200921602,45,"Mislang, Katrina Ann",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, dollar, sandro",@april_gue,april guegue,,Identified,2010-04-20 11:07:12+00:00,157,84,Unidentified,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO,,"Text,Quote",2022-12-06 13:09:41+00:00,, Rational,0,0,0,0,Unidentified,NEED CONTEXT,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-inaccurately-attributes-weakening-of-peso-solely-to-strong-dollar,,https://twitter.com/cnnphilippines/status/1599933393495416832,,
