ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Quoted Tweet,Reviewer,Review
45-280,4/19/2023 21:34:06,https://twitter.com/Calienteverse2/status/1580196041244045314,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Calienteverse2,Thomas Therapist,💚Home/hotel services❤️,Anonymous,3/14,836,507,"National Capital Region, Repub","Malinaw naman pagkaka explain Doon ni Sandro pero Ewan ko ba bakit parang nka stick Lang sila dun sa peso is weak, not because pesos is weak
Pesos is weak because usd is strong.. Bat nga ba hirap sila unawain na malakas ang dollar kontra sa lahat NG currency sa buong mundo 🤓",,"Text,Quote",10/12/2022 13:57,,Emotional,0,0,0,0,Unidentified,NEED CONTEXT,,,https://twitter.com/jmy_perez/status/1579905723680817152,,
45-281,4/19/2023 21:34:59,https://twitter.com/JEY_PPI/status/1580195660309360640,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@JEY_PPI,JAPJAP,"G R E E N

A L I

ANDROSEXUAL",Anonymous,7/19,180,111,"San Jose, Nueva Ecija","Trend ngayon yung pagsabi ni Sandro ng 'The peso is weak because the dollar is strong', unang panood ko dun, nagets ko kasi pinanood ko yung explanation nya. Hindi naman ako ekonomista, pero yung points nya nagmemake sense naman, lah, paulit-ulit den naman sinasabi nya dba?",,Text,10/12/2022 13:56,,Rational,0,1,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-361,4/18/2023 23:16:32,https://twitter.com/theigorotkid/status/1580052024024268800,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@theigorotkid,The Igorot Kid™,Katakot-takot at kagila-gilalas na nilalang. (Fearfully & wonderfully made.),Anonymous,3/20,116,4982,,People bashing Sandro Marcos for saying that peso is not really weak dollar is strong are people who lack comprehension or education on economics. Villar’s statement is an explanation for the dimwits. https://t.co/k46usK07G7,,"Text,Image",10/12/2022 4:25,,Rational,45,6,9,3,Unidentified,NEED CONTEXT,,,No Quoted,,
45-374,4/18/2023 23:23:50,https://twitter.com/31milmovement/status/1580022545243574273,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@31milmovement,Thirty One Million,Transforming solidarity into action and nation-building.,Anonymous,5/22,302,1691,Philippines,"There is nothing wrong sa “pesos-is-weak-the-dollar-is-strong” statement ni Congressman Sandro, ang mas cringe and downright embarrasing is yung paggamit ni LENLEN ng #unselfless with conviction. 🤦‍♂

Go to FB post 
👉 https://t.co/tULkzkzFrm",,"Text,URL",10/12/2022 2:28,,"Rational,Emotional",0,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-376,4/18/2023 23:25:45,https://twitter.com/v1n7z/status/1580014675722657792,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@v1n7z,𝙫𝙞𝙣𝙣𝙮 金凯文 🇵🇭🇳🇴 ,5ft 5in • IT • Dump • Opinionated • Pragmatist • Geopolitics • Cats • Foodie • Versa Top • Anti-woke SJWs • Not for the faint of heart • Follow at your own risk,Anonymous,9/8,389,1917,None of your f*ing business,"The Peso (₱) is weak not because it is weak. The Peso is weak because the Dollar ($) is strong.

@sandromarcos7 is right - just look at how Philippine Peso fare well with other currencies.

Don't be like Kakampwets — 'unselfless' lang kase naiintindihan nila. https://t.co/px5qZHFDdv",,"Text,Image",10/12/2022 1:57,,Rational,16,2,10,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-377,4/18/2023 23:27:02,https://twitter.com/LabByrds/status/1580014097499705345,99,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@LabByrds,RayBan.🫂,Lannister.🦁 Cersie-Lancel affair.👥 Antonio's Secret.👨🏻‍🤝‍👨🏽Blood bender.❣️💔 **suspended.🤪,Anonymous,7/20,1934,739,Red Keep,A peso is not weak because the peso is weak. A peso is weak because the dollar is strong.,,"Text,Quote",10/12/2022 1:54,,Rational,1,0,0,0,Unidentified,NEED CONTEXT,,,https://twitter.com/lancedevanadera/status/1579825802350571522,,
45-381,4/18/2023 23:29:13,https://twitter.com/qnsooo/status/1580004618569801728,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@qnsooo,𔒌,#도영  ☆  𝖩𝖮𝖨𝖭 𝖲𝖤𝖫𝖸𝖴！,Anonymous,9/21,1057,730,PSHS-MC 25,"The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong.",,Text,10/12/2022 1:17,,Rational,20,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-382,4/18/2023 23:29:52,https://twitter.com/JMSR2018/status/1580003770284400641,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@JMSR2018,John Mark S. Ronolo,Like to study Rainbows.,Identified,3/14,335,28,,The Peso is not weak because the Peso is weak. The Peso is weak because the Dollar is strong. Gets naman sya kay sa don sa isa na pauso ng word na UNSELFLESS like WTF.,,Text,10/12/2022 1:13,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-383,4/18/2023 23:30:47,https://twitter.com/mikdazon/status/1580002863257821185,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@mikdazon,Miks,My safe space 💫,Identified,9/6,202,333,"melbourne, australia","Forex101 para sa mga bida:
Pag mataas ang dollar (since it’s a safe haven for investors), high yield currencies such as aud, eur, cad, gbp, etc will be low. In short, the peso is not weak bec the peso is weak. The peso is weak bec the dollar is strong 🤪 https://t.co/MHYgByESiS",,"Text,Image",10/12/2022 1:10,,Emotional,4,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
45-392,4/18/2023 23:34:02,https://twitter.com/Nvs2Good/status/1579993342846242816,45,"Yukdawan, Bea Alessi",ECON,"Misinformation regarding the country's inflation and weakening peso
","peso, weak, dollar, strong",@Nvs2Good,SVEN GOOD,,Anonymous,10/8,8,2,,Sandro Marcos says peso is weak not because it’s weak: Dollar is just strong now https://t.co/cFPzaZSJRb,,"Text,URL",10/12/2022 0:32,,Rational,0,0,0,0,Unidentified,NEED CONTEXT,,,No Quoted,,
