date,username,rawContent
2022-12-29 10:42:08+00:00,libagniyuno,kasalanan talaga ni SMent kaya ako magiging bogus buyer e labas nang labas ng mga album at merch sinasabi ngang are peso is weak coz dollar is strong 😤
2022-12-29 09:46:47+00:00,imyourFifty,"600 per kilo? Edi wag bumili ng 1 kilo.
Solution para wag matraffic? Wag pumunta.
Peso is not weak, dollar is just strong.
No transportation issues, kulang lang diskarte.
History is like chismis

PH wins the gold medal sa mental gymnastics by a huge margin 🤭"
2022-12-29 06:03:36+00:00,cham_twts,"broke: investing to grow our bank account

woke: my sister as a teenager hiding a hundred united states dollar bill when the peso is strong and finding it now when it's weak as fuck"
2022-12-28 07:20:23+00:00,TheBenildean,"Sandro Marcos’s statement on PH economy—‘Weak peso, strong dollar’—is not just a logical fallacy, but also an oversimplification. #Debunked.

Written by Hannah Lauren Cadiz
Art by Gil Escorial https://t.co/M6W1zT9QPr"
2022-12-25 09:20:06+00:00,mongster,"Memorable soundbites of 2022:

Fei shang, gao shing, chi, shishyang

History is tsismis

I don't believe it is that high

Ang pangarap ninyo ay pangarap ko

The peso is weak because the dollar is strong

I can live without onion

Pag ika'y namulat, di na muling pipikit

Ano pa?"
2022-12-24 13:57:06+00:00,covidasasarap,"Ang tawag sa uri ng statement na ito ay ""Sandrocism.""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY"
2022-12-20 12:14:10+00:00,djbandalan,@ANCALERTS The peso isnt strong because it is strong. The peso is strong because the dollar is weak 😂😂😂😂😂
2022-12-20 09:51:04+00:00,djbandalan,@cnnphilippines Pwde ba sabihin nnm na the peso isnt strong because it is strong. The peso is strong because the dollar is weak 😂😂
2022-12-16 13:30:03+00:00,LaPommeNK,@WinwinEklabu Tama naman yung explanation ni Sandro dati. Now the peso is strong because the dollar is weak. What is there to be grateful?
2022-12-14 01:41:56+00:00,saywhocandy,"Walang rising star na may ganyang eye bags, still remember the peso is weak because the dollar is strong?"
2022-12-12 06:03:26+00:00,pepi_jinzero,"hahahahaha taena the peso is weak not because the peso is weak, because the dollar is strong hahahahahahahahahaahha https://t.co/DRm3I8m3lA"
2022-12-12 05:03:51+00:00,MangDonald8,"The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H"
2022-12-10 06:35:54+00:00,housedogscooby,"@dakokaayo A 6 footer Filipino surrounded by 7 footer Americans would make the Filipino short. If surrounded by 5 footer Americans, it would make the Filipino taller.

Parang 6ft ang peso compared to other currencies. Still tall/strong. Mas tall/strong lang si dollar kaya nagmumukhang weak."
2022-12-08 05:47:11+00:00,ManuelPadillaJr,@sherieanntorres @ABSCBNNews The peso is weak because the dollar is strong hahahahaha
2022-12-08 02:41:15+00:00,cocorpse,"@bunniefied @Dcoreum_io peso is weak because dollar is strong, says the london graduate https://t.co/6gKbiUI1rc"
2022-12-07 07:31:45+00:00,MaStella10,"@Simplengunggong @nabunturanguy From a person who quoted ""the peso is weak bec the dollar is strong"" and who brought up dragon fruits as alternative to palay planting..diospormio!"
2022-12-06 22:26:12+00:00,COCOhernandez,"You pretend that you make sense by saying the peso is weak because the dollar is strong. When inflation made my taxed salary afford much less of my basic needs.

#MyGaslightingMoment

@RX931 #TheMorningRush"
2022-12-06 16:15:29+00:00,dalawatayo,@jclem3 @Moneyma78808638 Parang peso is weak and dollar is strong statement yan
2022-12-06 14:23:01+00:00,rayparapinas,"@AlfredoGenom @juan_masangkay To paraphrase d young tradpol Sandro.. It’s not that d peso is strong, it just that d US dollar is weak. Fyi, all other currencies hv recovered fr a previously over valued dollar. BBM’s govt has nothing to do with this."
2022-12-06 14:21:08+00:00,DihhYanzy,"@1ebesate @jcpunongbayan What would you expect to someone who just said that ""The Peso is weak not because it is Weak. The Dollar is just strong that is why the Peso is Weak"". Napakatalino po diba."
2022-12-06 13:09:41+00:00,april_gue,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO
2022-12-05 07:02:52+00:00,SpyfratsCall,@RosesforRosey the peso is strong not because the peso is strong but because the dollar is weak po
2022-12-04 03:51:18+00:00,KMxrtxn,"The dollar is not  weak, because the dollar is weak, The dollar  is weak because the peso is strong."
