date,username,rawContent
2022-12-29 10:42:08+00:00,libagniyuno,kasalanan talaga ni SMent kaya ako magiging bogus buyer e labas nang labas ng mga album at merch sinasabi ngang are peso is weak coz dollar is strong 😤
2022-12-29 09:46:47+00:00,imyourFifty,"600 per kilo? Edi wag bumili ng 1 kilo.
Solution para wag matraffic? Wag pumunta.
Peso is not weak, dollar is just strong.
No transportation issues, kulang lang diskarte.
History is like chismis

PH wins the gold medal sa mental gymnastics by a huge margin 🤭"
2022-12-29 06:03:36+00:00,cham_twts,"broke: investing to grow our bank account

woke: my sister as a teenager hiding a hundred united states dollar bill when the peso is strong and finding it now when it's weak as fuck"
2022-12-28 07:20:23+00:00,TheBenildean,"Sandro Marcos’s statement on PH economy—‘Weak peso, strong dollar’—is not just a logical fallacy, but also an oversimplification. #Debunked.

Written by Hannah Lauren Cadiz
Art by Gil Escorial https://t.co/M6W1zT9QPr"
2022-12-25 09:20:06+00:00,mongster,"Memorable soundbites of 2022:

Fei shang, gao shing, chi, shishyang

History is tsismis

I don't believe it is that high

Ang pangarap ninyo ay pangarap ko

The peso is weak because the dollar is strong

I can live without onion

Pag ika'y namulat, di na muling pipikit

Ano pa?"
2022-12-24 13:57:06+00:00,covidasasarap,"Ang tawag sa uri ng statement na ito ay ""Sandrocism.""

The peso is weak not because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CWYqnGJSqY"
2022-12-14 01:41:56+00:00,saywhocandy,"Walang rising star na may ganyang eye bags, still remember the peso is weak because the dollar is strong?"
2022-12-12 05:03:51+00:00,MangDonald8,"The Peso is not weak, but the dollar  is really strong uh. 😥 https://t.co/42hhU0fW3H"
2022-12-06 22:26:12+00:00,COCOhernandez,"You pretend that you make sense by saying the peso is weak because the dollar is strong. When inflation made my taxed salary afford much less of my basic needs.

#MyGaslightingMoment

@RX931 #TheMorningRush"
2022-12-06 13:09:41+00:00,april_gue,“the peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” - SANDRO
2022-12-04 03:51:18+00:00,KMxrtxn,"The dollar is not  weak, because the dollar is weak, The dollar  is weak because the peso is strong."
2022-12-03 11:08:37+00:00,ngong_z,"the philippines: economic crisis
the concerts: the peso isn't weak because the peso is weak. the peso is weak because the dollar is strong"
2022-12-03 06:08:22+00:00,ANGBAYANKO3,"the dollar is weak because kakampinks are non sense, the peso is strong because the Govt is working good.
LENIE AND THE YELLOWPINKTARDS MGA BASURA SA BANSA"
2022-12-03 01:51:12+00:00,ANGBAYANKO3,"so the dollar is weak because the kakampinks are strong in trolling,  or the PESO is strong because the  Government WORKING GOOD?"
2022-12-02 12:30:36+00:00,Chrisharyce,"KAYA NAGMAHAL ANG BILIHIN DAHIL MAHINA ANG PURCHASING POWER NG PILIPINAS. THAT’S IT.

“THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG.” ULUL!!!!!! DIM-WITTED!!!! DULDUG KA KINAM. SUPORTADO KA PA SA HOUSE BILL 6398."
2022-12-02 11:07:35+00:00,ReginaMLagos1,The peso is strong now.. because the dollar is weak..because we have a strong President...😀😀😀 https://t.co/2wv2ukEoYt
2022-12-02 09:58:15+00:00,altGenie,"Peso rises vs Dollar. But why? Is it bcoz PHP got stronger? No. USD falls due to dovish Fed outlook. So PHP can look strong when USD weakens. Consequently, PHP can look weak when USD strengtens: The Peso is weak not bcoz it's weak, but bcoz the Dollar is strong. Sandro was right. https://t.co/8JIjU6aYzB"
2022-12-02 02:12:07+00:00,oiger,the peso is strong because the dollar is weak? or the pesos is strong because bbm is strong?
2022-11-30 14:31:01+00:00,WTNBEH4RUT0,I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/CqfeS6PEZG
2022-11-28 15:55:04+00:00,lcve214,the peso is weak because the dollar is strong
2022-11-27 12:38:37+00:00,nextdoornathan,"It's not that the PESO is STRONG

It's just that... the DOLLAR is WEAK

WAAHAHAHHA ANO KA NGAUN, SANDRO"
2022-11-26 03:25:24+00:00,ronaldgem,"ORIGINAL VS. FAKE

The now-viral quote card of Sandro Marcos supposedly commenting on the price of red onions is FAKE.

The card being reposted is an edited version of an Inquirer card where he commented on the weakening PHP, saying ""The peso is weak because the dollar is strong"" https://t.co/EKW34Q3k42"
2022-11-25 07:00:40+00:00,mgb819,It’s as significant as when the moron declared “I would like to make one thing clear…the peso is not weak because the peso is weak. The peso is weak because the dollar is strong”
